slug,vendor,url,resolved_by,resolved_url,bytes,content_type,elapsed_s
cloud-google-com-bigquery-docs-samples,gcp,https://cloud.google.com/bigquery/docs/samples,,,,,7.875
developer-mozilla-org-en-US-docs-Learn-Forms-Your-first-form,mdn,https://developer.mozilla.org/en-US/docs/Learn/Forms/Your_first_form,,,,,1.676
developer-mozilla-org-en-US-docs-Web-HTTP-CORS,mdn,https://developer.mozilla.org/en-US/docs/Web/HTTP/CORS,,,,,1.636
docs-anthropic-com-en-api-getting-started,anthropic,https://docs.anthropic.com/en/api/getting-started,accept_header,https://platform.claude.com/docs/en/api/overview,7551,text/markdown; charset=UTF-8,1.415
docs-anthropic-com-en-docs-about-claude-models-overview,anthropic,https://docs.anthropic.com/en/docs/about-claude/models/overview,accept_header,https://platform.claude.com/docs/en/about-claude/models/overview,10425,text/markdown; charset=UTF-8,1.287
docs-anthropic-com-en-docs-build-with-claude-prompt-caching,anthropic,https://docs.anthropic.com/en/docs/build-with-claude/prompt-caching,accept_header,https://platform.claude.com/docs/en/build-with-claude/prompt-caching,117934,text/markdown; charset=UTF-8,1.877
docs-anthropic-com-en-docs-welcome,anthropic,https://docs.anthropic.com/en/docs/welcome,accept_header,https://platform.claude.com/docs/en/intro,3891,text/markdown; charset=UTF-8,1.494
docs-anthropic-com-en-release-notes-api,anthropic,https://docs.anthropic.com/en/release-notes/api,accept_header,https://platform.claude.com/docs/en/release-notes/overview,41566,text/markdown; charset=UTF-8,1.256
docs-aws-amazon-com-AmazonS3-latest-userguide-Welcome-html,aws,https://docs.aws.amazon.com/AmazonS3/latest/userguide/Welcome.html,link_alternate,https://docs.aws.amazon.com/AmazonS3/latest/userguide/Welcome.md,41498,text/markdown; charset=utf-8,1.198
docs-aws-amazon-com-AWSEC2-latest-APIReference-API-RunInstances-html,aws,https://docs.aws.amazon.com/AWSEC2/latest/APIReference/API_RunInstances.html,link_alternate,https://docs.aws.amazon.com/AWSEC2/latest/APIReference/API_RunInstances.md,57883,text/markdown; charset=utf-8,1.98
docs-docker-com-engine-reference-commandline-run,docker,https://docs.docker.com/engine/reference/commandline/run/,accept_header,https://docs.docker.com/reference/cli/docker/container/run/,70622,text/markdown,1.433
docs-docker-com-get-started,docker,https://docs.docker.com/get-started/,accept_header,https://docs.docker.com/get-started/,444,text/markdown,1.231
docs-docker-com-get-started-02-our-app,docker,https://docs.docker.com/get-started/02_our_app/,accept_header,https://docs.docker.com/get-started/workshop/02_our_app/,6231,text/markdown,1.194
docs-github-com-en-get-started-learning-about-github-githubs-plans,github,https://docs.github.com/en/get-started/learning-about-github/githubs-plans,accept_header,https://docs.github.com/en/get-started/learning-about-github/githubs-plans,9416,text/markdown; charset=utf-8,1.092
docs-github-com-en-get-started-start-your-journey-hello-world,github,https://docs.github.com/en/get-started/start-your-journey/hello-world,accept_header,https://docs.github.com/en/get-started/start-your-journey/hello-world,10585,text/markdown; charset=utf-8,1.032
docs-github-com-en-rest-repos-repos,github,https://docs.github.com/en/rest/repos/repos,accept_header,https://docs.github.com/en/rest/repos/repos,103554,text/markdown; charset=utf-8,2.433
