slug,url,tier,profile,vendor,num_pairs,accuracy_raw,accuracy_rendered,accuracy_delta,raw_fetch_status,rendered_fetch_status,parseability_score_raw,parseability_score_rendered,universal_score_raw,universal_score_rendered,content_type
clickhouse-com-docs,https://clickhouse.com/docs,unknown,landing,clickhouse,0,,,,short,short,,,,,
clickhouse-com-docs-best-practices,https://clickhouse.com/docs/best-practices,unknown,article,clickhouse,0,,,,short,short,,,,,
clickhouse-com-docs-cloud,https://clickhouse.com/docs/cloud,unknown,landing,clickhouse,0,,,,failed,failed,,,,,
clickhouse-com-docs-cloud-manage-api-api-overview,https://clickhouse.com/docs/cloud/manage/api/api-overview,challenged=cf_challenge,reference,clickhouse,5,1.0,1.0,0.0,ok,ok,79.5096135096135,79.5113816623512,79.5096135096135,79.5113816623512,reference
clickhouse-com-docs-cloud-manage-billing,https://clickhouse.com/docs/cloud/manage/billing,challenged=ua_variant,article,clickhouse,0,,,,short,short,,,,,
clickhouse-com-docs-concepts,https://clickhouse.com/docs/concepts,unknown,article,clickhouse,0,,,,short,short,,,,,
clickhouse-com-docs-engines-table-engines,https://clickhouse.com/docs/engines/table-engines,unknown,article,clickhouse,5,1.0,1.0,0.0,ok,ok,78.09774777874269,78.09774777874269,78.09774777874269,78.09774777874269,article
clickhouse-com-docs-engines-table-engines-mergetree-family-mergetree,https://clickhouse.com/docs/engines/table-engines/mergetree-family/mergetree,unknown,article,clickhouse,5,0.8,1.0,0.19999999999999996,ok,ok,80.04226846218141,80.04226846218141,80.04226846218141,80.04226846218141,article
clickhouse-com-docs-faq,https://clickhouse.com/docs/faq,unknown,faq,clickhouse,0,,,,short,short,,,,,
clickhouse-com-docs-faq-general,https://clickhouse.com/docs/faq/general,unknown,faq,clickhouse,0,,,,short,short,,,,,
clickhouse-com-docs-faq-operations,https://clickhouse.com/docs/faq/operations,unknown,faq,clickhouse,0,,,,short,short,,,,,
clickhouse-com-docs-getting-started-example-datasets,https://clickhouse.com/docs/getting-started/example-datasets,unknown,sample,clickhouse,5,1.0,1.0,0.0,ok,ok,69.41547753110851,69.41547753110851,69.41547753110851,69.41547753110851,article
clickhouse-com-docs-getting-started-example-datasets-nyc-taxi,https://clickhouse.com/docs/getting-started/example-datasets/nyc-taxi,unknown,sample,clickhouse,5,1.0,1.0,0.0,ok,ok,66.20414617886536,66.20414617886536,66.20414617886536,66.20414617886536,sample
clickhouse-com-docs-getting-started-example-datasets-uk-price-paid,https://clickhouse.com/docs/getting-started/example-datasets/uk-price-paid,unknown,tutorial,clickhouse,0,,,,short,short,,,,,
clickhouse-com-docs-getting-started-install,https://clickhouse.com/docs/getting-started/install,unknown,tutorial,clickhouse,0,,,,short,short,,,,,
clickhouse-com-docs-getting-started-quick-start,https://clickhouse.com/docs/getting-started/quick-start,unknown,tutorial,clickhouse,0,,,,short,short,,,,,
clickhouse-com-docs-integrations,https://clickhouse.com/docs/integrations,unknown,landing,clickhouse,0,,,,short,short,,,,,
clickhouse-com-docs-interfaces-cli,https://clickhouse.com/docs/interfaces/cli,unknown,reference,clickhouse,5,1.0,1.0,0.0,ok,ok,79.97755610054278,79.97755610054278,79.97755610054278,79.97755610054278,sample
clickhouse-com-docs-operations,https://clickhouse.com/docs/operations,unknown,landing,clickhouse,5,0.8,0.8,0.0,ok,ok,44.11423683403541,44.11423683403541,44.11423683403541,44.11423683403541,article
clickhouse-com-docs-operations-server-configuration-parameters-settings,https://clickhouse.com/docs/operations/server-configuration-parameters/settings,unknown,tutorial,clickhouse,5,1.0,1.0,0.0,ok,ok,80.58897043335504,80.58897043335504,80.58897043335504,80.58897043335504,article
clickhouse-com-docs-operations-settings,https://clickhouse.com/docs/operations/settings,unknown,reference,clickhouse,0,,,,short,short,,,,,
clickhouse-com-docs-operations-system-tables,https://clickhouse.com/docs/operations/system-tables,unknown,reference,clickhouse,5,1.0,1.0,0.0,ok,ok,75.84,75.84,75.84,75.84,sample
clickhouse-com-docs-optimize-skipping-indexes,https://clickhouse.com/docs/optimize/skipping-indexes,unknown,article,clickhouse,5,1.0,1.0,0.0,ok,ok,81.26629072681703,81.26629072681703,81.26629072681703,81.26629072681703,article
